,Season,Episode,Character,Dialouge
0,1,1,Michael, All right Jim Your quarterlies look very good How are things at the library
1,1,1,Jim, Oh I told you I couldnt close it So
2,1,1,Michael, So youve come to the master for guidance Is this what youre saying grasshopper
3,1,1,Jim, Actually you called me in here but yeah
4,1,1,Michael, All right Well let me show you how its done
5,1,1,Michael,  Yes Id like to speak to your office manager please Yes hello This is Michael Scott I am the Regional Manager of Dunder Mifflin Paper Products Just wanted to talk to you manageramanger  All right Done deal Thank you very much sir Youre a gentleman and a scholar Oh Im sorry OK Im sorry My mistake  That was a woman I was talking to so She had a very low voice Probably a smoker so  So thats the way its done
6,1,1,Michael, Ive uh Ive been at Dunder Mifflin for 12 years the last four as Regional Manager If you want to come through here See we have the entire floor So this is my kingdom as far as the eye can see This is our receptionist Pam Pam PamPam Pam Beesly Pam has been with us for forever Right Pam
7,1,1,Pam, Well I dont know
8,1,1,Michael, If you think shes cute now you should have seen her a couple of years ago 
9,1,1,Pam, What
10,1,1,Michael, Any messages
11,1,1,Pam, Uh yeah Just a fax
12,1,1,Michael, Oh Pam this is from Corporate How many times have I told you Theres a special filing cabinet for things from corporate
13,1,1,Pam, You havent told me
14,1,1,Michael, Its called the wastepaper basket Look at that Look at that face
15,1,1,Michael, People say I am the best boss They go God weve never worked in a place like this before Youre hilarious And you get the best out of us  I think that pretty much sums it up I found it at Spencer Gifts
16,1,1,Dwight,  Shall I play for you Pa rum pump um pum  I have no gifts for you Pa rum pump um pum 
17,1,1,Jim, My job is to speak to clients on the phone about uh quantities and type of copier paper You know whether we can supply it to them Whether they can pay for it And Im boring myself just talking about this
18,1,1,Michael, Whassup
19,1,1,Jim, Whassup I still love that after seven years
20,1,1,Michael, Whassup
21,1,1,Dwight, Whassup
22,1,1,Michael, Whassup
23,1,1,Dwight, Whassup
24,1,1,Michael,  What
25,1,1,Jim, Nothing
26,1,1,Michael, OK All right See you later
27,1,1,Jim, All right Take care
28,1,1,Michael, Back to work
29,1,1,Jan,  Just before lunch That would be great
30,1,1,Michael, Corporate really doesnt really interfere with me at all Jan Levinson Gould  Jan hello I call her Hillary Rodham Clinton Right Not to her face because well not because Im scared of her Because Im not But um Yeah
31,1,1,Jan, Alright was there anything you wanted to add to the agenda
32,1,1,Michael, Um Me no get an agenda
33,1,1,Jan, What Im sorry
34,1,1,Michael, I didnt get any agenda
35,1,1,Jan, Well I faxed one over to you this morning
36,1,1,Michael, Really I didnt  Did we get a fax this morning
37,1,1,Pam, Uh yeah the one
38,1,1,Michael, Why isnt it in my hand A company runs on efficiency of communication right So whats the problem Pam Why didnt I get it
39,1,1,Pam, You put in the garbage can that was a special filing cabinet
40,1,1,Michael, Yeah that was a joke That was a joke that was actually my brothers and It was supposed to be with bills and it doesnt work great with faxes
41,1,1,Jan, Do you want to look at mine
42,1,1,Michael, Yeah yeah Lovely Thank you
43,1,1,Jan, OK Since the last meeting Ellen and the board have decided we cant justify a Scranton branch and a Stamford branch
44,1,1,Michael, OK
45,1,1,Jan, Michael dont panic
46,1,1,Michael, No no no no this is good This is good This is fine Excellent
47,1,1,Jan, No no no Michael listen OK Dont panic We havent made We havent decided
48,1,1,Michael, All the alarm bells are kind of going ringiedingieding
49,1,1,Jan, Ive spoken to Josh in Stamford Ive told him the same as you and its up to either him or you to convince me that your branch can incorporate the other
50,1,1,Michael, OK No problem
51,1,1,Jan, This does however mean that there is going to be downsizing
52,1,1,Michael, Me no wanna hear that Jan Because downsizing is a bitch It is a real bitch And I wouldnt wish that on Joshs men I certainly wouldnt wish it on my men Or women present company excluded Sorry Uh is Josh concerned about downsizing himself Not downsizing himself but is he concerned about downsizing
53,1,1,Michael, Question How long do we have to  Oh uh Todd Packer terrific rep Do you mind if I take it
54,1,1,Jan, Go ahead
55,1,1,Michel, Packman
56,1,1,Todd Packer, Hey you big queen
57,1,1,Michael, Oh thats not appropriate
58,1,1,Todd Packer, Hey is old Godzillary coming in today
59,1,1,Michael, Uh I dont know what you mean
60,1,1,Todd Packer, Ive been meaning to ask her one question Does the carpet match the drapes
61,1,1,Michael, Oh my God Oh Thats horrifying Horrible Horrible person
62,1,1,Jan, So do you think we could keep a lid on this for now I dont want to worry people unnecessarily
63,1,1,Michael, No absolutely Under this regime it will not leave this office  Like that
64,1,1,Phyllis, So what does downsizing actually mean
65,1,1,Stanley, Well
66,1,1,Oscar, You guys better update your resumes just like Im doing
67,1,1,Angela, I bet its gonna be me Probably gonna be me
68,1,1,Kevin, Yeah itll be you
69,1,1,Pam, I have an important question for you
70,1,1,Jim, Yes
71,1,1,Pam, Are you going to Angelas cat party on Sunday
72,1,1,Jim, Yeah stop That is ridiculous
73,1,1,Michael, Am I going to tell them No I am not going to tell them I dont see the point of that As a doctor you would not tell a patient if they had cancer
74,1,1,Michael, Hey
75,1,1,Ryan, Hey
76,1,1,Pam, This is Mr Scott
77,1,1,Michael, Guilty Guilty as charged
78,1,1,Ryan, Ryan Howard from the temp agency Daniqua sent me down to start today
79,1,1,Michael, Howard like Moe Howard Three Stooges
80,1,1,Ryan, Yup
81,1,1,Michael, Watch this This is Moe Nyucknyucknyucknyucknyuck Mee  Ah right here Three Stooges Oh Pam Its a guy thing Pam Im sort of a student of comedy Watch this Here we go  Im htler Adolf htler 
82,1,1,Pam, I dont think it would be the worst thing if they let me go because then I might I dont think its many little girls dream to be a receptionist I like to do illustrations Um Mostly watercolor A few oil pencil Um Jim thinks theyre good
83,1,1,Pam, Dunder Mifflin This is Pam
84,1,1,Jim, Sure Mr Davis let me call you right back Yeah something just came up Two minutes Thank you very much Dwight what are you doing
85,1,1,Dwight, What
86,1,1,Jim, What are you doing
87,1,1,Dwight, Just clearing my desk I cant concentrate
88,1,1,Jim, Its not on your desk
89,1,1,Dwight, Its overlapping Its all spilling over the edge One word two syllables Demarcation
90,1,1,Dwight, You cant do that
91,1,1,Jim, Why not
92,1,1,Dwight, Safety violation I could fall and pierce an organ
93,1,1,Jim,  Well see  This is why the whole downsizing thing just doesnt bother me
94,1,1,Dwight, Downsizing
95,1,1,Dwight, Downsizing I have no problem with that I have been recommending downsizing since I first got here I even brought it up in my interview I say bring it on
96,1,1,Pam, You just still have these messages from yesterday
97,1,1,Michael, Relax Everythings under control Uh yeah Yeah Thats important Right Oh this is so important I should run to answer it 
98,1,1,Pam, What
99,1,1,Michael, Come on SixMillion Dollar Man Steve Austin Actually that would be a good salary for me dont you think Six million dollars Memo to Jan I deserve a raise
100,1,1,Pam, Dont we all
101,1,1,Michael, Im sorry
102,1,1,Pam, Nothing
103,1,1,Michael, If youre unhappy with your compensation maybe you should take it up with HR OK Not today OK Pam just be professional 
104,1,1,Michael, I think Im a role model here I think I garner peoples respect  Attention all Dunder Mifflin employees please We have a meeting in the conference room ASAP
105,1,1,Michael, People I respect heroes of mine would be Bob Hope Abraham Lincoln definitely Bono And probably God would be the fourth one And I just think all those people really helped the world in so many ways that its really beyond words Its really incalculable
106,1,1,Michael, Now I know theres some rumors out there and I just kind of want to set the record straight
107,1,1,Dwight, Im Assistant Regional Manager I should know first
108,1,1,Michael, Assistant to the Regional Manager
109,1,1,Dwight, OK um can you just tell me please Just tell me quietly Can you whisper it in my ear
110,1,1,Michael, Im about to tell everybody Im just about to tell everybody
111,1,1,Oscar, Cant you just tell us
112,1,1,Dwight, Please OK Do you want me to tell em
113,1,1,Michael, You dont know what it is 
114,1,1,Dwight, OK You tell em With my permission Permission granted
115,1,1,Michael, I dont need your permission
116,1,1,Dwight, Go ahead
117,1,1,Michael, Corporate has deemed it appropriate to enforce an ultimatum upon me And Jan is thinking about downsizing either the Stamford branch or this branch
118,1,1,Ryan, I heard they might be closing this branch down Thats just the rumor going around This is my first day I dont really know
119,1,1,Oscar, Yeah but Michael what if they downsize here
120,1,1,Michael, Not gonna happen
121,1,1,Stanley, It could be out of your hands Michael
122,1,1,Michael, It wont be out of my hands Stanley OK I promise you that
123,1,1,Stanley, Can you promise that
124,1,1,Dwight, On his mothers grave
125,1,1,Michael, No
126,1,1,Phyllis, What
127,1,1,Michael, Well yeah it is a promise And frankly Im a little insulted that you have to keep asking about it
128,1,1,Stanley, Its just that we need to know
129,1,1,Michael, I know Hold on a second I think Pam wanted to say something Pam you had a look that you wanted to ask a question just then
130,1,1,Pam, I was in the meeting with Jan and she did say that it could be this branch that gets the axe
131,1,1,Man, Are you sure about that
132,1,1,Michael, Well Pam maybe you should stick to the ongoing confidentiality agreement of meetings
133,1,1,Dwight, Pam information is power
134,1,1,Stanley, You cant say for sure whether itll be us or them can you
135,1,1,Michael, No Stanley No you did not see me in there with her I said if Corporate wants to come in here and interfere then theyre gonna have to go through me Right You can go mess with Joshs people but Im the head of this family and you aint gonna be messing with my chillin
136,1,1,Jim, If I left what would I do with all this useless information in my head You know Tonnage price of manila folders Um Pams favorite flavor of yogurt which is mixed berry
137,1,1,Pam, Jim said mixed berries Well yeah hes on to me Um 
138,1,1,Michael, Watch out for this guy Dwight Schrute in the building This is Ryan the new temp
139,1,1,Ryan, Whats up Nice to meet you
140,1,1,Michael, Introduce yourself Be polite
141,1,1,Dwight, Dwight Schrute Assistant Regional Manager
142,1,1,Michael, Assistant to the Regional Manager So uh Dwight tell him about the kung fu and the car and everything
143,1,1,Dwight, Uh yeah I got a 78 280Z Bought it for 1200 Fixed it up Its now worth three grand
144,1,1,Michael, Thats his profit
145,1,1,Dwight, New engine new suspension I got a respray Ive got some photos
146,1,1,Dwight, Damn it Jim
147,1,1,Michael, OK Hold on hold on The judge is in session What is the problem here
148,1,1,Dwight, He put my stuff in JellO again
149,1,1,Pam, 
150,1,1,Dwight, Thats real professional thanks Thats the third time and it wasnt funny the first two times either Jim
151,1,1,Dwight, Its OK here but people sometimes take advantage because its so relaxed Im a volunteer Sheriffs Deputy on the weekends And you cannot screw around there Thats sort of one of the rules
152,1,1,Michael, What is that
153,1,1,Dwight, That is my stapler
154,1,1,Michael, No no no Do not take it out You have to eat it out of there because there are starving people in the world  which I hate and it is a waste of that kind of food
155,1,1,Dwight, OK you know what you can be a witness  Can you reprimand him
156,1,1,Jim, How do you know it was me
157,1,1,Dwight, Its always you Are you going to discipline him or not
158,1,1,Michael, Discipline Kinky  All right heres the deal you guys The thing about a practical joke is you have to know when to start and as well as when to stop
159,1,1,Dwight, Yeah
160,1,1,Michael, And yeah Jim this is the time to stop putting Dwights personal effects into JellO
161,1,1,Jim, OK Dwight Im sorry because I have always been your biggest flan
