,Season,Character,word,count
0,1,Dwight,I,157
1,1,Dwight,you,96
2,1,Dwight,to,77
3,1,Dwight,a,76
4,1,Dwight,the,70
5,1,Dwight,it,55
6,1,Dwight,that,39
7,1,Dwight,and,37
8,1,Dwight,me,36
9,1,Dwight,my,32
10,1,Dwight,have,30
11,1,Dwight,of,30
12,1,Dwight,be,30
13,1,Dwight,this,30
14,1,Dwight,for,29
15,1,Dwight,Jim,28
16,1,Dwight,can,27
17,1,Dwight,is,27
18,1,Dwight,in,26
19,1,Dwight,Im,26
20,1,Dwight,You,25
21,1,Dwight,know,25
22,1,Dwight,your,23
23,1,Dwight,OK,21
24,1,Dwight,not,20
25,2,Dwight,I,380
26,2,Dwight,the,279
27,2,Dwight,you,276
28,2,Dwight,to,260
29,2,Dwight,a,254
30,2,Dwight,is,172
31,2,Dwight,it,164
32,2,Dwight,of,125
33,2,Dwight,that,111
34,2,Dwight,in,105
35,2,Dwight,me,100
36,2,Dwight,and,100
37,2,Dwight,have,97
38,2,Dwight,Im,90
39,2,Dwight,on,88
40,2,Dwight,my,85
41,2,Dwight,You,81
42,2,Dwight,this,80
43,2,Dwight,Michael,76
44,2,Dwight,not,71
45,2,Dwight,for,68
46,2,Dwight,No,67
47,2,Dwight,your,67
48,2,Dwight,was,67
49,2,Dwight,are,65
50,3,Dwight,the,318
51,3,Dwight,I,302
52,3,Dwight,you,222
53,3,Dwight,a,221
54,3,Dwight,to,194
55,3,Dwight,of,132
56,3,Dwight,is,129
57,3,Dwight,and,122
58,3,Dwight,it,108
59,3,Dwight,in,100
60,3,Dwight,that,89
61,3,Dwight,on,80
62,3,Dwight,have,79
63,3,Dwight,this,74
64,3,Dwight,my,74
65,3,Dwight,me,67
66,3,Dwight,do,64
67,3,Dwight,Michael,63
68,3,Dwight,be,63
69,3,Dwight,not,63
70,3,Dwight,You,61
71,3,Dwight,No,60
72,3,Dwight,What,54
73,3,Dwight,for,53
74,3,Dwight,are,53
75,4,Dwight,I,195
76,4,Dwight,you,170
77,4,Dwight,the,158
78,4,Dwight,to,132
79,4,Dwight,a,122
80,4,Dwight,it,79
81,4,Dwight,of,73
82,4,Dwight,is,71
83,4,Dwight,and,68
84,4,Dwight,in,62
85,4,Dwight,that,56
86,4,Dwight,me,50
87,4,Dwight,for,44
88,4,Dwight,do,43
89,4,Dwight,my,42
90,4,Dwight,have,41
91,4,Dwight,You,39
92,4,Dwight,we,38
93,4,Dwight,not,37
94,4,Dwight,on,35
95,4,Dwight,this,32
96,4,Dwight,Im,32
97,4,Dwight,your,31
98,4,Dwight,No,30
99,4,Dwight,be,30
100,5,Dwight,I,315
101,5,Dwight,you,289
102,5,Dwight,the,276
103,5,Dwight,a,254
104,5,Dwight,to,229
105,5,Dwight,is,126
106,5,Dwight,of,122
107,5,Dwight,it,114
108,5,Dwight,and,114
109,5,Dwight,in,108
110,5,Dwight,that,104
111,5,Dwight,not,90
112,5,Dwight,your,90
113,5,Dwight,me,89
114,5,Dwight,do,87
115,5,Dwight,on,79
116,5,Dwight,are,78
117,5,Dwight,my,76
118,5,Dwight,No,73
119,5,Dwight,this,73
120,5,Dwight,Im,70
121,5,Dwight,You,62
